club,Table,club0.csv,D:\guc\6th semester\csen 604 - data bases ii\projects\project 1\dba2aleez\data
student,Table,Student0.csv,D:\guc\6th semester\csen 604 - data bases ii\projects\project 1\dba2aleez\data
student_id_sparse,SparseIndex,student_id_sparse.csv,D:\guc\6th semester\csen 604 - data bases ii\projects\project 1\dba2aleez\data
student_date_dense,DenseIndex,student_date_dense.csv,D:\guc\6th semester\csen 604 - data bases ii\projects\project 1\dba2aleez\data
student_date_sparse,SparseIndex,student_date_sparse.csv,D:\guc\6th semester\csen 604 - data bases ii\projects\project 1\dba2aleez\data
student_id_sparse,SparseIndex,student_id_sparse.csv,D:\guc\6th semester\csen 604 - data bases ii\projects\project 1\dba2aleez\data
student_date_dense,DenseIndex,student_date_dense.csv,D:\guc\6th semester\csen 604 - data bases ii\projects\project 1\dba2aleez\data
student_date_sparse,SparseIndex,student_date_sparse.csv,D:\guc\6th semester\csen 604 - data bases ii\projects\project 1\dba2aleez\data
student_id_sparse,SparseIndex,student_id_sparse.csv,D:\guc\6th semester\csen 604 - data bases ii\projects\project 1\dba2aleez\data
student_date_dense,DenseIndex,student_date_dense.csv,D:\guc\6th semester\csen 604 - data bases ii\projects\project 1\dba2aleez\data
student_date_sparse,SparseIndex,student_date_sparse.csv,D:\guc\6th semester\csen 604 - data bases ii\projects\project 1\dba2aleez\data
student_id_sparse,SparseIndex,student_id_sparse.csv,D:\guc\6th semester\csen 604 - data bases ii\projects\project 1\dba2aleez\data
student_date_dense,DenseIndex,student_date_dense.csv,D:\guc\6th semester\csen 604 - data bases ii\projects\project 1\dba2aleez\data
student_date_sparse,SparseIndex,student_date_sparse.csv,D:\guc\6th semester\csen 604 - data bases ii\projects\project 1\dba2aleez\data
student_id_sparse,SparseIndex,student_id_sparse.csv,D:\guc\6th semester\csen 604 - data bases ii\projects\project 1\dba2aleez\data
student_date_dense,DenseIndex,student_date_dense.csv,D:\guc\6th semester\csen 604 - data bases ii\projects\project 1\dba2aleez\data
student_date_sparse,SparseIndex,student_date_sparse.csv,D:\guc\6th semester\csen 604 - data bases ii\projects\project 1\dba2aleez\data
student_id_sparse,SparseIndex,student_id_sparse.csv,D:\guc\6th semester\csen 604 - data bases ii\projects\project 1\dba2aleez\data
student_date_dense,DenseIndex,student_date_dense.csv,D:\guc\6th semester\csen 604 - data bases ii\projects\project 1\dba2aleez\data
student_date_sparse,SparseIndex,student_date_sparse.csv,D:\guc\6th semester\csen 604 - data bases ii\projects\project 1\dba2aleez\data
student_id_sparse,SparseIndex,student_id_sparse.csv,D:\guc\6th semester\csen 604 - data bases ii\projects\project 1\dba2aleez\data
student_date_dense,DenseIndex,student_date_dense.csv,D:\guc\6th semester\csen 604 - data bases ii\projects\project 1\dba2aleez\data
student_date_sparse,SparseIndex,student_date_sparse.csv,D:\guc\6th semester\csen 604 - data bases ii\projects\project 1\dba2aleez\data
